CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;18/01/2025;13;0,437;;;R
ES0031102460685007HA0F;18/01/2025;14;0,515;;;R
ES0031102460685007HA0F;18/01/2025;15;0,673;;;R
ES0031102460685007HA0F;18/01/2025;16;0,121;;;R
ES0031102460685007HA0F;18/01/2025;17;0,141;;;R
ES0031102460685007HA0F;18/01/2025;18;0,358;;;R
ES0031102460685007HA0F;18/01/2025;19;0,304;;;R
ES0031102460685007HA0F;18/01/2025;20;0,543;;;R
ES0031102460685007HA0F;18/01/2025;21;0,273;;;R
ES0031102460685007HA0F;18/01/2025;22;0,686;;;R
ES0031102460685007HA0F;18/01/2025;23;0,962;;;R
ES0031102460685007HA0F;18/01/2025;24;1,009;;;R
ES0031102460685007HA0F;19/01/2025;1;0,656;;;R
ES0031102460685007HA0F;19/01/2025;2;0,561;;;R
ES0031102460685007HA0F;19/01/2025;3;0,513;;;R
ES0031102460685007HA0F;19/01/2025;4;0,526;;;R
ES0031102460685007HA0F;19/01/2025;5;0,452;;;R
ES0031102460685007HA0F;19/01/2025;6;0,522;;;R
ES0031102460685007HA0F;19/01/2025;7;0,551;;;R
ES0031102460685007HA0F;19/01/2025;8;0,497;;;R
ES0031102460685007HA0F;19/01/2025;9;0,298;;;R
ES0031102460685007HA0F;19/01/2025;10;0,037;;;R
ES0031102460685007HA0F;19/01/2025;11;0,045;;;R
ES0031102460685007HA0F;19/01/2025;12;0,242;;;R
ES0031102460685007HA0F;19/01/2025;13;0,857;;;R
ES0031102460685007HA0F;19/01/2025;14;1,21;;;R
ES0031102460685007HA0F;19/01/2025;15;1,234;;;R
ES0031102460685007HA0F;19/01/2025;16;0,277;;;R
ES0031102460685007HA0F;19/01/2025;17;0,272;;;R
ES0031102460685007HA0F;19/01/2025;18;0,357;;;R
ES0031102460685007HA0F;19/01/2025;19;0,496;;;R
ES0031102460685007HA0F;19/01/2025;20;0,362;;;R
ES0031102460685007HA0F;19/01/2025;21;0,099;;;R
ES0031102460685007HA0F;19/01/2025;22;0,093;;;R
ES0031102460685007HA0F;19/01/2025;23;0,741;;;R
