CUPS;Fecha;Hora;AE_kWh;AS_KWh;AE_AUTOCONS_kWh;REAL/ESTIMADO
ES0031102460685007HA0F;16/03/2023;20;0,161;;;R
ES0031102460685007HA0F;16/03/2023;21;0,173;;;R
ES0031102460685007HA0F;16/03/2023;22;0,08;;;R
ES0031102460685007HA0F;16/03/2023;23;0,044;;;R
ES0031102460685007HA0F;16/03/2023;24;0,087;;;R
ES0031102460685007HA0F;17/03/2023;1;0,069;;;R
ES0031102460685007HA0F;17/03/2023;2;0,035;;;R
ES0031102460685007HA0F;17/03/2023;3;0,034;;;R
ES0031102460685007HA0F;17/03/2023;4;0,034;;;R
ES0031102460685007HA0F;17/03/2023;5;0,034;;;R
ES0031102460685007HA0F;17/03/2023;6;0,035;;;R
ES0031102460685007HA0F;17/03/2023;7;0,034;;;R
ES0031102460685007HA0F;17/03/2023;8;0,072;;;R
ES0031102460685007HA0F;17/03/2023;9;0,038;;;R
ES0031102460685007HA0F;17/03/2023;10;0,095;;;R
ES0031102460685007HA0F;17/03/2023;11;0,067;;;R
ES0031102460685007HA0F;17/03/2023;12;0,112;;;R
ES0031102460685007HA0F;17/03/2023;13;0,038;;;R
ES0031102460685007HA0F;17/03/2023;14;0,243;;;R
ES0031102460685007HA0F;17/03/2023;15;0,389;;;R
ES0031102460685007HA0F;17/03/2023;16;0,1;;;R
ES0031102460685007HA0F;17/03/2023;17;0,569;;;R
ES0031102460685007HA0F;17/03/2023;18;0,346;;;R
ES0031102460685007HA0F;17/03/2023;19;0,398;;;R
ES0031102460685007HA0F;17/03/2023;20;0,245;;;R
ES0031102460685007HA0F;17/03/2023;21;0,416;;;R
ES0031102460685007HA0F;17/03/2023;22;0,3;;;R
ES0031102460685007HA0F;17/03/2023;23;0,314;;;R
ES0031102460685007HA0F;17/03/2023;24;0,442;;;R
ES0031102460685007HA0F;18/03/2023;1;0,481;;;R
ES0031102460685007HA0F;18/03/2023;2;0,771;;;R
ES0031102460685007HA0F;18/03/2023;3;0,885;;;R
ES0031102460685007HA0F;18/03/2023;4;0,573;;;R
ES0031102460685007HA0F;18/03/2023;5;0,277;;;R
ES0031102460685007HA0F;18/03/2023;6;0,268;;;R
ES0031102460685007HA0F;18/03/2023;7;0,187;;;R
ES0031102460685007HA0F;18/03/2023;8;0,082;;;R
ES0031102460685007HA0F;18/03/2023;9;0,05;;;R
ES0031102460685007HA0F;18/03/2023;10;0,041;;;R
ES0031102460685007HA0F;18/03/2023;11;0,11;;;R
ES0031102460685007HA0F;18/03/2023;12;0,273;;;R
ES0031102460685007HA0F;18/03/2023;13;0,407;;;R
ES0031102460685007HA0F;18/03/2023;14;0,273;;;R
ES0031102460685007HA0F;18/03/2023;15;0,433;;;R
ES0031102460685007HA0F;18/03/2023;16;1,491;;;R
ES0031102460685007HA0F;18/03/2023;17;0,255;;;R
ES0031102460685007HA0F;18/03/2023;18;0,291;;;R
ES0031102460685007HA0F;18/03/2023;19;0,342;;;R
ES0031102460685007HA0F;18/03/2023;20;0,38;;;R
ES0031102460685007HA0F;18/03/2023;21;0,286;;;R
ES0031102460685007HA0F;18/03/2023;22;0,219;;;R
ES0031102460685007HA0F;18/03/2023;23;0,566;;;R
ES0031102460685007HA0F;18/03/2023;24;0,27;;;R
ES0031102460685007HA0F;19/03/2023;1;0,29;;;R
ES0031102460685007HA0F;19/03/2023;2;0,211;;;R
ES0031102460685007HA0F;19/03/2023;3;0,274;;;R
ES0031102460685007HA0F;19/03/2023;4;0,247;;;R
ES0031102460685007HA0F;19/03/2023;5;0,186;;;R
ES0031102460685007HA0F;19/03/2023;6;0,187;;;R
ES0031102460685007HA0F;19/03/2023;7;0,166;;;R
ES0031102460685007HA0F;19/03/2023;8;0,154;;;R
ES0031102460685007HA0F;19/03/2023;9;0,212;;;R
ES0031102460685007HA0F;19/03/2023;10;0,213;;;R
ES0031102460685007HA0F;19/03/2023;11;0,176;;;R
ES0031102460685007HA0F;19/03/2023;12;0,345;;;R
ES0031102460685007HA0F;19/03/2023;13;0,191;;;R
ES0031102460685007HA0F;19/03/2023;14;0,865;;;R
ES0031102460685007HA0F;19/03/2023;15;0,905;;;R
ES0031102460685007HA0F;19/03/2023;16;0,73;;;R
ES0031102460685007HA0F;19/03/2023;17;0,489;;;R
ES0031102460685007HA0F;19/03/2023;18;0,453;;;R
ES0031102460685007HA0F;19/03/2023;19;0,292;;;R
ES0031102460685007HA0F;19/03/2023;20;0,267;;;R
ES0031102460685007HA0F;19/03/2023;21;0,127;;;R
